group,subject,item,expected
S,S_05,29,1
S,S_05,30,1
S,S_05,31,1
S,S_05,32,1
S,S_05,33,0
S,S_05,34,0
S,S_05,35,1
S,S_05,36,1
S,S_05,37,1
S,S_06,1,1
S,S_06,2,0
S,S_06,4,1
S,S_06,5,1
S,S_06,6,0
S,S_06,7,1
S,S_06,8,1
S,S_06,9,1
S,S_06,10,1
S,S_06,11,0
S,S_06,12,1
S,S_06,13,1
S,S_06,14,1
S,S_06,15,0
S,S_06,16,0
S,S_06,17,1
S,S_06,18,1
S,S_06,19,0
S,S_06,20,0
S,S_06,21,1
S,S_06,22,0
S,S_06,23,1
S,S_06,24,0
S,S_06,25,1
S,S_06,26,1
S,S_06,27,1
S,S_06,28,1
S,S_06,29,1
S,S_06,30,0
S,S_06,31,1
S,S_06,32,1
S,S_06,33,0
S,S_06,34,0
S,S_06,35,1
S,S_06,36,0
S,S_06,37,0
S,S_07,1,1
S,S_07,2,1
S,S_07,3,1
S,S_07,4,1
S,S_07,5,1
S,S_07,6,1
S,S_07,7,1
S,S_07,8,0
S,S_07,9,1
S,S_07,10,0
S,S_07,11,0
S,S_07,12,1
S,S_07,13,1
S,S_07,14,1
S,S_07,15,0
S,S_07,16,0
S,S_07,17,1
S,S_07,18,0
S,S_07,19,1
S,S_07,20,1
S,S_07,21,1
S,S_07,22,1
S,S_07,23,0
S,S_07,24,1
S,S_07,25,1
S,S_07,26,1
S,S_07,27,1
S,S_07,28,1
S,S_07,29,1
S,S_07,30,1
S,S_07,31,0
S,S_07,32,1
S,S_07,33,1
S,S_07,34,0
S,S_07,35,0
S,S_07,36,1
S,S_07,37,1
S,S_08,1,1
S,S_08,2,1
S,S_08,4,1
S,S_08,5,1
S,S_08,6,0
S,S_08,7,1
S,S_08,8,1
S,S_08,9,0
S,S_08,10,1
S,S_08,11,0
S,S_08,12,0
S,S_08,13,0
S,S_08,14,1
S,S_08,15,1
S,S_08,16,1
S,S_08,17,0
S,S_08,18,1
S,S_08,19,1
S,S_08,20,1
S,S_08,21,0
S,S_08,22,1
S,S_08,23,0
S,S_08,24,0
S,S_08,25,1
S,S_08,26,1
S,S_08,27,1
S,S_08,28,0
S,S_08,29,1
S,S_08,30,1
S,S_08,31,1
S,S_08,32,1
S,S_08,33,0
S,S_08,34,0
S,S_08,35,1
S,S_08,36,0
S,S_08,37,1
S,S_09,1,1
S,S_09,2,1
S,S_09,3,1
S,S_09,4,1
S,S_09,5,1
S,S_09,6,1
S,S_09,7,1
S,S_09,8,0
S,S_09,9,1
S,S_09,10,1
S,S_09,11,0
S,S_09,12,1
S,S_09,13,1
S,S_09,14,1
